id,feature_ids,scenario,role_preconditions,environment,verification_level,outcome,evidence,limitations,findings,prior_outcome,evidence_use,new_execution_this_round,blocker_expression,feature_specific_requirements,lower_level_option_not_full_flow,live_provider_access_required,operational_task_outcome,operational_block_reason,operational_new_evidence,source_head
FLOW-CMD-add,CMD-add,Representative full-path contract for /add,Telegram actor/chat identity,Required: isolated full application / approved provider sandbox,STATIC_DISCOVERY_ONLY; not executed as full flow,BLOCKED,src/presentation/telegram/commands.rs:148,"Tool-safety reason unresolved. Feature prerequisites are listed separately, including data/provider/schedule/product requirements. No new flow execution; no real-provider credential shortage inferred for a mock-only test.",,BLOCKED,PRIOR_OUTCOME_RETAINED,NO,EXEC-01 AND BOOT-01 AND TG-01 AND IDENTITY-01 AND DB-01,TG-01;IDENTITY-01;DB-01,EXEC-02 AND COMPONENT-01 may supply handler-level evidence after resolution; cannot close this full-dispatcher FLOW row.,NO_FOR_SIMULATED_SCOPE,BLOCKED,EXEC-01 cannot start because task-owned isolated DB/runtime environment provisioning OPQUAL-DB-001 was TOOL_BLOCKED before execution; no bypass permitted.,OPQUAL-DB-001-BLOCKED.json; execution_started=false; no Docker/network/DB aftermath.,8b380d2f882ddf0e634c5d61e0d73d2c32f23220
FLOW-CMD-alerts_status,CMD-alerts_status,Representative full-path contract for /alerts_status,configured private admin,Required: isolated full application / approved provider sandbox,STATIC_DISCOVERY_ONLY; not executed as full flow,BLOCKED,src/presentation/telegram/commands.rs:69,"Tool-safety reason unresolved. Feature prerequisites are listed separately, including data/provider/schedule/product requirements. No new flow execution; no real-provider credential shortage inferred for a mock-only test.",,BLOCKED,PRIOR_OUTCOME_RETAINED,NO,EXEC-01 AND BOOT-01 AND TG-01 AND IDENTITY-01 AND DB-01,TG-01;IDENTITY-01;DB-01,EXEC-02 AND COMPONENT-01 may supply handler-level evidence after resolution; cannot close this full-dispatcher FLOW row.,NO_FOR_SIMULATED_SCOPE,BLOCKED,EXEC-01 cannot start because task-owned isolated DB/runtime environment provisioning OPQUAL-DB-001 was TOOL_BLOCKED before execution; no bypass permitted.,OPQUAL-DB-001-BLOCKED.json; execution_started=false; no Docker/network/DB aftermath.,8b380d2f882ddf0e634c5d61e0d73d2c32f23220
FLOW-CMD-balance,CMD-balance,Representative full-path contract for /balance,Telegram actor/chat identity,Required: isolated full application / approved provider sandbox,STATIC_DISCOVERY_ONLY; not executed as full flow,BLOCKED,src/presentation/telegram/commands.rs:151,"Tool-safety reason unresolved. Feature prerequisites are listed separately, including data/provider/schedule/product requirements. No new flow execution; no real-provider credential shortage inferred for a mock-only test.",,BLOCKED,PRIOR_OUTCOME_RETAINED,NO,EXEC-01 AND BOOT-01 AND TG-01 AND IDENTITY-01 AND DB-01 AND NODE-01,TG-01;IDENTITY-01;DB-01;NODE-01,EXEC-02 AND COMPONENT-01 may supply handler-level evidence after resolution; cannot close this full-dispatcher FLOW row.,NO_FOR_SIMULATED_SCOPE,BLOCKED,EXEC-01 cannot start because task-owned isolated DB/runtime environment provisioning OPQUAL-DB-001 was TOOL_BLOCKED before execution; no bypass permitted.,OPQUAL-DB-001-BLOCKED.json; execution_started=false; no Docker/network/DB aftermath.,8b380d2f882ddf0e634c5d61e0d73d2c32f23220
FLOW-CMD-blocks,CMD-blocks,Representative full-path contract for /blocks,Telegram actor/chat identity,Required: isolated full application / approved provider sandbox,STATIC_DISCOVERY_ONLY; not executed as full flow,BLOCKED,src/presentation/telegram/commands.rs:153,"Tool-safety reason unresolved. Feature prerequisites are listed separately, including data/provider/schedule/product requirements. No new flow execution; no real-provider credential shortage inferred for a mock-only test.",,BLOCKED,PRIOR_OUTCOME_RETAINED,NO,EXEC-01 AND BOOT-01 AND TG-01 AND IDENTITY-01 AND DB-01,TG-01;IDENTITY-01;DB-01,EXEC-02 AND COMPONENT-01 may supply handler-level evidence after resolution; cannot close this full-dispatcher FLOW row.,NO_FOR_SIMULATED_SCOPE,BLOCKED,EXEC-01 cannot start because task-owned isolated DB/runtime environment provisioning OPQUAL-DB-001 was TOOL_BLOCKED before execution; no bypass permitted.,OPQUAL-DB-001-BLOCKED.json; execution_started=false; no Docker/network/DB aftermath.,8b380d2f882ddf0e634c5d61e0d73d2c32f23220
FLOW-CMD-cleanup_events,CMD-cleanup_events,Representative full-path contract for /cleanup_events,configured private admin,Required: isolated full application / approved provider sandbox,STATIC_DISCOVERY_ONLY; not executed as full flow,BLOCKED,src/presentation/telegram/commands.rs:100,"Tool-safety reason unresolved. Feature prerequisites are listed separately, including data/provider/schedule/product requirements. No new flow execution; no real-provider credential shortage inferred for a mock-only test.",,BLOCKED,PRIOR_OUTCOME_RETAINED,NO,EXEC-01 AND BOOT-01 AND TG-01 AND IDENTITY-01 AND DB-01,TG-01;IDENTITY-01;DB-01,EXEC-02 AND COMPONENT-01 may supply handler-level evidence after resolution; cannot close this full-dispatcher FLOW row.,NO_FOR_SIMULATED_SCOPE,BLOCKED,EXEC-01 cannot start because task-owned isolated DB/runtime environment provisioning OPQUAL-DB-001 was TOOL_BLOCKED before execution; no bypass permitted.,OPQUAL-DB-001-BLOCKED.json; execution_started=false; no Docker/network/DB aftermath.,8b380d2f882ddf0e634c5d61e0d73d2c32f23220
FLOW-CMD-dag,CMD-dag,Representative full-path contract for /dag,Telegram actor/chat identity,Required: isolated full application / approved provider sandbox,STATIC_DISCOVERY_ONLY; not executed as full flow,BLOCKED,src/presentation/telegram/commands.rs:155,"Tool-safety reason unresolved. Feature prerequisites are listed separately, including data/provider/schedule/product requirements. No new flow execution; no real-provider credential shortage inferred for a mock-only test.",,BLOCKED,PRIOR_OUTCOME_RETAINED,NO,EXEC-01 AND BOOT-01 AND TG-01 AND IDENTITY-01 AND NODE-01,TG-01;IDENTITY-01;NODE-01,EXEC-02 AND COMPONENT-01 may supply handler-level evidence after resolution; cannot close this full-dispatcher FLOW row.,NO_FOR_SIMULATED_SCOPE,BLOCKED,EXEC-01 cannot start because task-owned isolated DB/runtime environment provisioning OPQUAL-DB-001 was TOOL_BLOCKED before execution; no bypass permitted.,OPQUAL-DB-001-BLOCKED.json; execution_started=false; no Docker/network/DB aftermath.,8b380d2f882ddf0e634c5d61e0d73d2c32f23220
FLOW-CMD-db_diag,CMD-db_diag,Representative full-path contract for /db_diag,configured private admin,Required: isolated full application / approved provider sandbox,STATIC_DISCOVERY_ONLY; not executed as full flow,BLOCKED,src/presentation/telegram/commands.rs:105,"Tool-safety reason unresolved. Feature prerequisites are listed separately, including data/provider/schedule/product requirements. No new flow execution; no real-provider credential shortage inferred for a mock-only test.",,BLOCKED,PRIOR_OUTCOME_RETAINED,NO,EXEC-01 AND BOOT-01 AND TG-01 AND IDENTITY-01 AND DB-01,TG-01;IDENTITY-01;DB-01,EXEC-02 AND COMPONENT-01 may supply handler-level evidence after resolution; cannot close this full-dispatcher FLOW row.,NO_FOR_SIMULATED_SCOPE,BLOCKED,EXEC-01 cannot start because task-owned isolated DB/runtime environment provisioning OPQUAL-DB-001 was TOOL_BLOCKED before execution; no bypass permitted.,OPQUAL-DB-001-BLOCKED.json; execution_started=false; no Docker/network/DB aftermath.,8b380d2f882ddf0e634c5d61e0d73d2c32f23220
FLOW-CMD-delivery,CMD-delivery,Representative full-path contract for /delivery,configured private admin,Required: isolated full application / approved provider sandbox,STATIC_DISCOVERY_ONLY; not executed as full flow,BLOCKED,src/presentation/telegram/commands.rs:85,"Tool-safety reason unresolved. Feature prerequisites are listed separately, including data/provider/schedule/product requirements. No new flow execution; no real-provider credential shortage inferred for a mock-only test.",,BLOCKED,PRIOR_OUTCOME_RETAINED,NO,EXEC-01 AND BOOT-01 AND TG-01 AND IDENTITY-01 AND DB-01 AND QUEUE-01,TG-01;IDENTITY-01;DB-01;QUEUE-01,EXEC-02 AND COMPONENT-01 may supply handler-level evidence after resolution; cannot close this full-dispatcher FLOW row.,NO_FOR_SIMULATED_SCOPE,BLOCKED,EXEC-01 cannot start because task-owned isolated DB/runtime environment provisioning OPQUAL-DB-001 was TOOL_BLOCKED before execution; no bypass permitted.,OPQUAL-DB-001-BLOCKED.json; execution_started=false; no Docker/network/DB aftermath.,8b380d2f882ddf0e634c5d61e0d73d2c32f23220
FLOW-CMD-donate,CMD-donate,Representative full-path contract for /donate,Telegram actor/chat identity,Required: isolated full application / approved provider sandbox,STATIC_DISCOVERY_ONLY; not executed as full flow,BLOCKED,src/presentation/telegram/commands.rs:160,"Tool-safety reason unresolved. Feature prerequisites are listed separately, including data/provider/schedule/product requirements. No new flow execution; no real-provider credential shortage inferred for a mock-only test.",,BLOCKED,PRIOR_OUTCOME_RETAINED,NO,EXEC-01 AND BOOT-01 AND TG-01 AND IDENTITY-01,TG-01;IDENTITY-01,EXEC-02 AND COMPONENT-01 may supply handler-level evidence after resolution; cannot close this full-dispatcher FLOW row.,NO_FOR_SIMULATED_SCOPE,BLOCKED,EXEC-01 cannot start because task-owned isolated DB/runtime environment provisioning OPQUAL-DB-001 was TOOL_BLOCKED before execution; no bypass permitted.,OPQUAL-DB-001-BLOCKED.json; execution_started=false; no Docker/network/DB aftermath.,8b380d2f882ddf0e634c5d61e0d73d2c32f23220
FLOW-CMD-errors,CMD-errors,Representative full-path contract for /errors,configured private admin,Required: isolated full application / approved provider sandbox,STATIC_DISCOVERY_ONLY; not executed as full flow,BLOCKED,src/presentation/telegram/commands.rs:82,"Tool-safety reason unresolved. Feature prerequisites are listed separately, including data/provider/schedule/product requirements. No new flow execution; no real-provider credential shortage inferred for a mock-only test.",,BLOCKED,PRIOR_OUTCOME_RETAINED,NO,EXEC-01 AND BOOT-01 AND TG-01 AND IDENTITY-01 AND DB-01,TG-01;IDENTITY-01;DB-01,EXEC-02 AND COMPONENT-01 may supply handler-level evidence after resolution; cannot close this full-dispatcher FLOW row.,NO_FOR_SIMULATED_SCOPE,BLOCKED,EXEC-01 cannot start because task-owned isolated DB/runtime environment provisioning OPQUAL-DB-001 was TOOL_BLOCKED before execution; no bypass permitted.,OPQUAL-DB-001-BLOCKED.json; execution_started=false; no Docker/network/DB aftermath.,8b380d2f882ddf0e634c5d61e0d73d2c32f23220
